Entity,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin
Argentina,3/31/22,14779516,6547230,26009747,0,20413864,0,28343322,615027,0,0
Austria,3/29/22,14607703,1586015,1588315,363624,0,0,0,0,5018,0
Belgium,3/29/22,17473274,4268651,2846864,425901,0,0,0,0,68,0
Bulgaria,3/25/22,2860086,492733,478541,512657,0,0,0,0,0,0
Chile,3/30/22,7923897,0,549459,0,0,25635205,0,574509,0,0
Croatia,3/29/22,3926443,509392,568123,201349,0,0,0,0,319,0
Cyprus,3/25/22,1191903,187344,254527,30023,0,0,0,0,45,0
Czechia,3/31/22,14610916,1585737,887143,412653,0,0,0,0,3468,0
Denmark,3/25/22,10262428,1710034,155740,46931,0,0,0,0,0,0
Ecuador,1/28/22,8552679,0,5009163,0,0,15812935,0,536882,0,0
Estonia,3/25/22,1491573,232317,237718,77860,0,0,0,0,216,0
Finland,3/29/22,9260267,1889947,553787,0,0,0,0,0,0,0
France,3/30/22,109275175,23544559,7857928,1086043,0,0,0,0,0,0
Germany,3/31/22,126149038,29452879,12758016,3628267,0,0,0,0,81894,0
Hong Kong,3/27/22,8879482,0,0,0,0,6064982,0,0,0,0
Hungary,3/25/22,9306779,1048039,1252394,334643,1807392,0,2301704,0,0,0
Iceland,3/28/22,76558,6493,1,85,0,0,0,0,0,0
Ireland,3/25/22,8073035,1177036,1193159,237948,0,0,0,0,0,0
Italy,3/31/22,88615263,33632112,12165565,1507190,0,0,0,0,31650,0
Japan,8/4/21,86647668,5687427,0,0,0,0,0,0,0,0
Latvia,3/30/22,1609130,710754,262561,293195,0,9,27,0,215,0
Lithuania,3/25/22,3292839,328008,536494,294811,0,0,0,0,0,0
Luxembourg,3/29/22,697238,300327,105219,41497,0,0,0,0,177,0
Malta,3/25/22,706840,236934,227811,32308,0,0,0,0,0,0
Nepal,3/31/22,619997,5671665,10827025,3354508,0,0,19595023,0,0,0
Netherlands,3/25/22,24048811,6361352,2800823,868595,0,0,0,0,464,0
Norway,3/25/22,8846681,2263443,147421,7129,0,0,0,0,0,0
Peru,3/29/22,40072735,0,5623624,0,0,0,20332284,0,0,0
Poland,3/29/22,38579465,3636014,5288996,2685838,0,0,0,0,5039,0
Portugal,3/25/22,15021199,3585008,2247700,1133428,0,2152,1178,0,0,15
Romania,3/30/22,12835891,1005550,849559,2048302,0,0,0,0,0,0
Slovakia,3/29/22,5085113,672408,842788,183327,37711,0,0,0,428,0
Slovenia,3/25/22,2249417,237011,324823,136163,0,0,0,0,44,0
South Africa,4/1/22,25506668,0,0,8231497,0,0,0,0,0,0
South Korea,3/31/22,74229118,24236585,20315888,1542385,0,0,0,0,190719,0
Spain,3/25/22,65337355,23615013,9792430,1980183,0,0,0,0,0,0
Sweden,3/25/22,14745815,3461877,1328646,0,0,0,0,0,223,0
Switzerland,3/30/22,5799983,9765320,0,60084,0,0,0,0,0,0
Ukraine,2/23/22,14774013,3044899,4041487,20680,0,9802231,0,0,0,0
United States,3/31/22,331150614,210561666,0,18581654,0,0,0,0,0,0
Uruguay,3/31/22,2480758,0,90732,0,0,3247932,0,0,0,0